Year,Country Name,Country Code,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Diabetes prevalence (% of population ages 20 to 79),"Government expenditure on education, total (% of GDP)",Income share held by highest 10%,Income share held by lowest 10%,Income share held by second 20%,"Life expectancy at birth, total (years)",Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",population(in thousand),all_causes(in thousand),diabetes_mellitus(in thousand),%death by diabetes,alzheimer_and_other_dementia (in thousand),%death by alzheimer_and_other_dementia,cardiovascular_diseases (in thousand),%death by cardiovascular_diseases,asthma (in thousand),%death by asthma,kidney_diseases (in thousand),%death by kidney_diseases,Income_share_bottom 40%,Income_share_top 10%
2000,Bulgaria,BGR,3.21429936,3.938809661,92.84689028,5.82970953,6.7,4.219832897,26.6,1.6,12.6,71.66341463,4.2,16.218,8000.522,115.5018417,2.04523843,1.770740969,0.117528442,0.101754605,79.61813459,68.93235072,0.088713567,0.076807059,1.180426924,1.021998356,21.06800079,24.21800041
2010,Bulgaria,BGR,2.408664429,2.732462557,94.85887377,7.09477949,6.7,3.857460022,26.9,2.1,12.1,73.51219512,4.8,10.279,7437.608,111.4279761,1.645801323,1.477009079,0.165888073,0.148874707,75.45816293,67.71922599,0.042093565,0.037776478,1.418506294,1.273025271,19.29199982,25.7329998
2015,Bulgaria,BGR,2.123462285,2.708720282,95.16781853,7.39363575,6.7,3.912084341,28.7,1.5,11.6,74.61463415,4,9.143,7177.521,110.0424952,1.64542779,1.495265795,0.192176492,0.174638435,72.50635134,65.88941048,0.035581801,0.0323346,1.750755521,1.590981301,17.78000069,28.80999947
2019,Bulgaria,BGR,2.214004172,2.47491822,95.31107766,7.09237671,6.7,4.199029922,31.4,1.9,11,75.11219512,3,4.23,6975.469,108.0370358,1.421102519,1.315384588,0.157717931,0.145985059,70.13538463,64.91790902,0.037345748,0.034567542,2.133200482,1.974508524,16.46999931,32.65999985
2020,Bulgaria,BGR,2.214004172,2.47491822,95.31107766,8.48235893,6.7,4.505139828,32.6,2.2,10.9,73.35609756,2.9,5.125,6933.655,124.685182,1.635949546,1.312064128,0.165840138,0.133007095,76.09799864,61.03211099,0.031739445,0.025455668,2.126059371,1.705141973,16.70000076,31.42000008
2021,Bulgaria,BGR,2.214004172,2.47491822,95.31107766,8.61892796,7.4,4.73032999,29.9,2,11,71.21219512,2.5,5.267,6877.231,148.8929996,1.645309927,1.105028397,0.120137402,0.080687072,81.71079223,54.87886767,0.034669835,0.023285067,2.035378243,1.367007347,17.06999969,32.68000031
2000,Burkina Faso,BFA,73.12802967,5.730579005,21.14139076,2.9502635,3,3.941139936,33.8,2.3,9.7,50.808,22.7,2.679,11925.557,170.7226141,1.81805052,1.064914879,0.463355129,0.271408174,13.43416312,7.869000357,0.715222186,0.418938165,2.157082064,1.263501074,8.656000137,49.43799973
2010,Burkina Faso,BFA,65.11071874,7.883343013,27.00593669,5.23958349,3,3.502229929,32,2.7,10.7,56.343,15.1,3.723,16176.508,162.9679372,2.201188622,1.350688154,0.524139499,0.321621239,17.33927395,10.63968425,0.742674541,0.455718195,2.829127756,1.736002679,11.33100033,43.5
2015,Burkina Faso,BFA,57.7732902,9.925487759,32.3012217,5.13192415,3,3.67008996,29.6,3.6,11.7,58.778,13.5,4.461,18777.492,161.5306713,2.512027316,1.555139526,0.595794761,0.368843116,19.605183,12.13712717,0.872338602,0.540045178,3.409501324,2.110745468,12.3579998,42.84700012
2019,Burkina Faso,BFA,54.10482801,11.12996961,34.76520142,5.36802721,3,5.407136917,35.3,2.6,9.8,60.184,14.4,4.71,20961.96,157.3731486,2.715788488,1.72570004,0.663096386,0.421352939,20.83868696,13.24157719,0.897971607,0.570600267,3.727172208,2.36836604,9.937000275,46.47700119
